index,x_mm,y_mm
487,24.50349682,-1.55318335
488,24.48619239,-1.55277183
489,24.46856258,-1.55236569
490,24.45060762,-1.55196540
491,24.43232776,-1.55157148
492,24.41372326,-1.55118439
493,24.39479437,-1.55080463
494,24.37554136,-1.55043268
495,24.35596448,-1.55006904
496,24.33606403,-1.54971418
497,24.31584026,-1.54936860
498,24.29529347,-1.54903278
499,24.27442394,-1.54870720
500,24.25323197,-1.54839235
501,24.23171785,-1.54808870
502,24.20988188,-1.54779676
503,24.18772437,-1.54751698
504,24.16524564,-1.54724987
505,24.14244599,-1.54699589
506,24.11932576,-1.54675553
507,24.09588528,-1.54652927
508,24.07212486,-1.54631758
509,24.04804486,-1.54612095
510,24.02364560,-1.54593986
511,23.99892745,-1.54577477
512,23.97389075,-1.54562617
513,23.94853585,-1.54549452
514,23.92286313,-1.54538032
515,23.89687294,-1.54528402
516,23.87056566,-1.54520611
517,23.84394167,-1.54514705
518,23.81700134,-1.54510731
519,23.78974507,-1.54508737
520,23.76217324,-1.54508770
521,23.73428625,-1.54510876
522,23.70608450,-1.54515103
523,23.67756840,-1.54521496
524,23.64873836,-1.54530104
525,23.61959479,-1.54540971
526,23.59013812,-1.54554145
527,23.56036877,-1.54569672
528,23.53028716,-1.54587598
529,23.49989375,-1.54607969
530,23.46918895,-1.54630832
531,23.43817323,-1.54656232
532,23.40684703,-1.54684216
533,23.37521080,-1.54714828
534,23.34326500,-1.54748115
535,23.31101010,-1.54784123
536,23.27844656,-1.54822896
537,23.24557486,-1.54864480
538,23.21239548,-1.54908920
539,23.17890889,-1.54956261
540,23.14511560,-1.55006549
541,23.11101608,-1.55059828
542,23.07661084,-1.55116143
543,23.04190037,-1.55175539
544,23.00688519,-1.55238060
545,22.97156581,-1.55303751
546,22.93594274,-1.55372656
547,22.90001650,-1.55444819
548,22.86378762,-1.55520284
549,22.82725662,-1.55599095
550,22.79042405,-1.55681297
551,22.75329044,-1.55766932
552,22.71585634,-1.55856045
553,22.67812229,-1.55948679
554,22.64008884,-1.56044877
555,22.60175656,-1.56144682
556,22.56312601,-1.56248137
557,22.52419775,-1.56355286
558,22.48497236,-1.56466171
559,22.44545041,-1.56580835
560,22.44896746,-1.51454937
561,22.45236746,-1.46328249
562,22.45565037,-1.41200799
563,22.45881619,-1.36072612
564,22.46186489,-1.30943715
565,22.46479647,-1.25814136
566,22.46761090,-1.20683900
567,22.47030818,-1.15553035
568,22.47288828,-1.10421568
569,22.47535120,-1.05289525
570,22.47769692,-1.00156933
571,22.47992543,-0.95023818
572,22.48203672,-0.89890208
573,22.48403077,-0.84756130
574,22.48590759,-0.79621609
575,22.48766714,-0.74486673
576,22.48930944,-0.69351349
577,22.49083446,-0.64215663
578,22.49224221,-0.59079643
579,22.49353267,-0.53943314
580,22.49470583,-0.48806704
